gene,xcorr,resolvability
ACLY,0.29151782958901357,0.7084821704109865
ACO1,0.3895649268691029,0.6104350731308972
ACO2,0.39326384770018713,0.6067361522998129
ACOT11,0.4130692793322461,0.5869307206677539
ACOT13,0.3646045524094786,0.6353954475905215
ACOT2,0.406996595540217,0.593003404459783
ACOT4,0.49550580073680195,0.504494199263198
ACOT7,0.33284075358616455,0.6671592464138354
ACOT8,0.3101677279919386,0.6898322720080614
ACOT9,0.27062980602827985,0.7293701939717201
ACOX1,0.3572428338229656,0.6427571661770344
ACOX3,0.3980072920343706,0.6019927079656294
ACP1,0.3115408481763942,0.6884591518236058
ACP2,0.3592180676226105,0.6407819323773896
ACP5,0.38900080589311464,0.6109991941068853
ACP7,0.5853192497576986,0.41468075024230144
ACRBP,0.5464226752519608,0.45357732474803925
ACSF2,0.43099531611161573,0.5690046838883842
ACSF3,0.36664035809891565,0.6333596419010843
ACSL1,0.4675040456599423,0.5324959543400577
ACSL3,0.2843262494674751,0.7156737505325249
ACSL4,0.44590125924774576,0.5540987407522542
ACSL5,0.6126294838530677,0.3873705161469323
ACSM3,0.7147436620933669,0.2852563379066331
ACSS1,0.5875826520579202,0.41241734794207985
ACSS2,0.3876374587416649,0.6123625412583351
ACTA1,0.8562761779342379,0.14372382206576206
ACTB,0.7556624444467681,0.2443375555532319
ACTC1,0.8184899198157447,0.1815100801842553
ACTG1,0.6248770175235612,0.3751229824764388
ACTL6A,0.4381393258060728,0.5618606741939272
ACTN1,0.3575083967298269,0.6424916032701731
ACTN4,0.44182578128363403,0.558174218716366
ACTR10,0.27013377028716995,0.72986622971283
ACTR1A,0.2513450540136546,0.7486549459863454
ACTR1B,0.37051529583654236,0.6294847041634577
ACTR2,0.39590855242412154,0.6040914475758785
ACTR3,0.3563682118962918,0.6436317881037081
ACTR3B,0.49326785041817595,0.506732149581824
ACTR3C,0.5228286720812321,0.47717132791876793
ACTR5,0.34583461430988144,0.6541653856901186
ACTR6,0.4009227917662689,0.5990772082337311
ACTR8,0.3212370441428253,0.6787629558571747
ACTRT3,0.43378161625670536,0.5662183837432946
ACVR1,0.30243545564423713,0.6975645443557629
ACVR1B,0.38508542467440876,0.6149145753255912
ACVR2A,0.4972623086401394,0.5027376913598606
ACYP1,0.4517867937684059,0.5482132062315941
ACYP2,0.37703736818262507,0.6229626318173749
ADA2,0.5390409406806741,0.4609590593193259
ADAM10,0.3169673451089433,0.6830326548910567
ADAM12,0.4258341547101736,0.5741658452898264
ADAM15,0.3178874578859125,0.6821125421140875
ADAM17,0.40660442784428596,0.593395572155714
ADAM28,0.629051862018449,0.370948137981551
ADAM8,0.5062808995800359,0.49371910041996414
ADAM9,0.4139552281371185,0.5860447718628815
ADAMTS10,0.4627795490835394,0.5372204509164606
ADAMTS13,0.538991146853992,0.46100885314600804
ADAMTS15,0.5577846648437637,0.44221533515623634
ADAMTS20,0.6319205867392677,0.36807941326073235
ADAMTS6,0.40064658171364237,0.5993534182863576
ADAMTS7,0.40521848847025205,0.5947815115297479
ADAMTSL4,0.4994822250945227,0.5005177749054772
ADAMTSL4-AS1,0.48294403084686827,0.5170559691531318
ADAMTSL4-AS2,0.5069511413042035,0.4930488586957965
ADAMTSL5,0.39235262519546915,0.6076473748045308
ADAP1,0.537874868937901,0.46212513106209896
ADAR,0.46418401492493494,0.535815985075065
ADARB1,0.39633265669856754,0.6036673433014325
ADAT1,0.32720873784273863,0.6727912621572614
ADAT2,0.41922870384795324,0.5807712961520468
ADCK1,0.39954608572380884,0.6004539142761911
ADCK2,0.3214690167722957,0.6785309832277042
ADCY2,0.6499325292451041,0.35006747075489586
ADCY3,0.4641749268131597,0.5358250731868404
ADCY4,0.5014790248657975,0.49852097513420246
ADCY6,0.49479552331779686,0.5052044766822031
ADCY7,0.4579223820141384,0.5420776179858616
ADCY9,0.41050549623157295,0.589494503768427
ADD1,0.3224445684546871,0.677555431545313
ADD3,0.5100225199546132,0.48997748004538677
ADGRA3,0.44885157447840485,0.5511484255215952
ADGRB1,0.6528006206665721,0.3471993793334279
ADGRB2,0.5708898508122989,0.4291101491877011
ADGRE2,0.4477996208838054,0.5522003791161946
ADGRE5,0.46495104261807035,0.5350489573819297
ADGRF3,0.47969381298337666,0.5203061870166233
ADGRF4,0.42773813049175907,0.5722618695082409
ADGRG1,0.34835846229855505,0.651641537701445
ADGRG5,0.5110271751348462,0.4889728248651538
ADGRL1,0.5456355650510106,0.45436443494898937
ADGRV1,0.5385873844580991,0.46141261554190094
ADH5,0.35228924293603214,0.6477107570639679
ADHFE1,0.6355175014053073,0.3644824985946927
ADI1,0.3915662579238415,0.6084337420761585
ADIPOR1,0.2993061032944492,0.7006938967055508
ADIPOR2,0.3580757925020797,0.6419242074979203
ADK,0.2973633365971701,0.7026366634028298
ADM,0.4461316487618855,0.5538683512381145
ADM5,0.5705371169107301,0.42946288308926994
ADNP,0.36494341359606813,0.6350565864039319
ADNP2,0.3976581732609442,0.6023418267390558
ADO,0.35114521346986294,0.6488547865301371
ADORA1,0.6075538684214864,0.3924461315785136
ADORA2B,0.4175755857889141,0.5824244142110859
ADORA3,0.5274879192667348,0.4725120807332652
ADPGK,0.3768660573820983,0.6231339426179017
ADPRH,0.42362993210554123,0.5763700678944588
ADPRM,0.41366791831595556,0.5863320816840445
ADPRS,0.335041486791202,0.6649585132087981
ADRA2A,0.5747149091746125,0.42528509082538746
ADRA2B,0.716258202280317,0.283741797719683
