,Malignant,B cell,Dendritic,Endothelial,Fibroblast,Macrophage,Mast,T cell
ACSS1,0.17298138255913295,0.21402140716078483,0.10016483384787409,0.16807811867015648,0.17333832844437588,0.1029373684369523,0.057903291542277205,0.11798530209207209
ACSS2,0.24156631026227857,0.15736297816642783,0.14825879696366617,0.2404197026598103,0.24053052180045206,0.07723075832495238,0.17055385155437253,0.25180220113742596
ACTA1,0.3465919249255469,0.15504052967650458,0.2657232207054165,-0.34196340442830764,0.34840797354336167,-0.08605702809825462,0.2955921222217252,-0.13380598564781102
ACTB,0.07032470237064771,-0.04189199454668896,-0.05151315972870008,0.09048684331258408,0.07537133180097955,-0.08007517534760335,-0.10580312566745656,-0.013142823201606781
ACTC1,0.3341229812057938,0.2932480821452528,0.23763590174784488,-0.12109269898822023,0.35712479966121363,0.09981546886177319,0.15158517396686236,0.04975284044497127
ACTG1,0.024830731889596586,0.060881100743265096,-0.04068760006966653,0.014909822090649198,0.017790375100876617,0.027020581436195467,0.02033792028608831,0.04658955081164576
ACTL6A,0.33217243976925237,0.19530485732109323,0.07415036697877418,0.324506509585572,0.33062145413458105,0.19328838733056775,-0.037585915429625166,0.2267612856081796
ACTN1,0.2660356266400273,0.2933366282468667,0.1147527808191934,0.2618156163366645,0.2705499187265359,0.2642524672098437,0.05910322595726555,0.1694437681473894
ACTN4,0.16652623783412404,0.21905722214114634,0.01087775066121654,0.15712126352487302,0.16478424700137095,0.15882787910022134,-0.10157314075073984,0.05365024975278693
ACTR10,0.29091113482689446,0.16762960474669292,0.10404326462644094,0.2968403893332745,0.2928999339449579,0.09849757013972531,0.12819657367797058,0.2565844774758813
ACTR1A,0.15429643083382805,0.18689828941264394,0.09465916477667614,0.15713124321500238,0.15807374314853548,0.07713407524157723,-0.014446872088262066,0.03882491958181343
ACTR1B,0.2387386717509217,0.20023353662355087,0.14433973053054258,0.2344446223715787,0.2304308895733431,0.10021923234562509,0.14867041911664933,0.1562457864242873
ACTR2,0.11016546643820362,0.15036800018412796,0.09086890986646713,0.10849804459085108,0.11051780636263282,0.13438842041875712,0.05469045689980409,0.010067587637454682
ACTR3,0.1482305875091519,0.21317115109001944,0.002153898304643217,0.14838359425453265,0.14767978606902213,0.18719368055172567,0.0689572961481281,0.1218034864334119
ACTR3B,0.44157408265844866,0.22610011628384633,0.1656761456281023,0.37810378418551427,0.33957325510617425,0.16375248757521058,0.09053240378829812,0.33287602220692375
ACTR3C,-0.006095648271434122,0.17405746491442392,0.15260502511896396,0.25542427329225703,0.11805715322243962,0.09733880079502367,0.087470527147492,0.20213223657781684
ACTR5,0.3154433825123033,0.24279305461881023,0.16653400884761876,0.3210278582492827,0.3130660368518976,0.12966687226868848,0.15700371620263426,0.3032843938000144
ACTR6,0.33513542037028754,0.21645165126710642,0.1845470088102894,0.3391305166427608,0.33735527578557745,0.15173871448548415,0.13428164600435233,0.2961027672762166
ACTR8,0.18696876619505484,0.20423754782618792,0.11147177175259224,0.18393534097432876,0.1824176454044715,0.08687540021779684,0.12693250835514816,0.19056872110481268
ACTRT3,0.14403102480612884,0.05318866856479802,0.06149608251073897,0.2094790580012605,0.17853043773691682,0.08735547931183386,0.03789657518158784,0.30353013075490937
ACVR1,0.28315098499900704,0.21813587401876336,0.13765653421900617,0.28651544825348163,0.2850505366716714,0.1210351196389542,0.11344927805953726,0.31688677100087365
